nome_breve,nome_esteso,indirizzo
AGSS,Associazione Giovanni Secco Suardo,"Via Mazzini, 13 - 24050  Lurano (BG)
Tel. 035/800530  Fax 035/800717 
info@associazionegiovanniseccosuardo.it"
Ai.Bi.,Amici dei Bambini,"Via Melegnano, 10 - 20098 Mezzano di San Giuliano Milanese (MI)
Tel. 02/988221 Fax 02/98232611 
aibi@aibi.it"
AIDOS,Associazione Italiana Donne per lo Sviluppo,"Via dei Giubbonari, 30 - 00186 Roma
Tel. 06/6873214 Fax 06/6872549 
aidos@aidos.it"
AIFO,Associazione Italiana Amici di Raoul Follereau,"Via Borselli, 4 - 40135 Bologna
Tel. 051 4393211 Fax 051 434046 
info@aifo.it"
AISPO,Associazione Italiana per la Solidarietà tra i Popoli,"Via Olgettina, 58 - 20132 Milano
Tel. 02/26434481  Fax 02/26434484 
aispo@hsr.it"
AIUTIAMOLI A VIVERE ONLUS,Fondazione,"Viale Trieste, 7  - 05100 Terni
Tel 0744/279560 - 282460  
fondaav@tin.it"
ALM,Associazione Laicale Missionaria,"V.le Quattro Venti, 166/2 - 00152 Roma
Tel. 06/5897752 Fax 06/584856 
almquattroventi@libero.it"
ALMA,Associazione Laica Montfort - un cuore per l'Africa,"Via Madonna degli Angeli, 29  - 76121  Barletta 
Tel. 328 2654400  Fax 0883.515366  
info@almaonlus.it"
AMA,Associazione Mani Amiche,"Via Campo dei Fiori, 16 - 53047  Sarteano (SI)
Tel. 0578/265454  Fax 0578/268840  
info@mani-amiche.it"
AMANI ONLUS,Amani Onlus,"Via Gonin, 8 - 20147  Milano
Tel 02/48951149 Fax 02/45495237 
segreteria@amaniforafrica.org"
AMEN,Agenzia Missionaria Evangelo per le Nazioni,"A.Gramsci, 78/80 - 81031 Aversa (Ce)
081/8907142  081/3628856"
AMG,Associazione Mondo Giusto,"Via Zanella, 5 - 23900  Lecco (CO)
Tel. 0341/360491 Fax. 0341/1840104 
mondogiusto@oddo.it"
AMREF,Fondazione Africana per la Medicina e la Ricerca,"Via Boezio, 17 - 00192 Roma
Tel. 06/99704650  Fax 06/3202227 
info@amref.it"
AMU,Azione per un Mondo Unito,"Via Frascati, 342 - 00040  Rocca di Papa (RM)
Tel. 06/94792170 Fax 06/94790359  
info@amu-it.eu"
ANL,Associazione Noi per Loro,"Sede legale V.le Mazzini, 41 - 00195 Roma
Tel. 06/3217566  Fax 06/3217532  
info@noiperloro.org"
ANLADI,Annulliamo la distanza,"Via di Ripoli, 209/E - 50126  Firenze
+ 39 338 7275724; + 39 055 2340818  
info@annulliamoladistanza.org"
APA,Accademia psicologia applicata,"Sede Legale via Niccolò Cervello, 36 - 90141 Palermo
info@apaweb.org"
APG XXIII,Associazione Comunità Papa Giovanni XXIII Condivisione fra i popoli,"Sede legale Via Valverde, 10/C - 47900  Rimini 
Tel 0541/909600  Fax 0541/909601 
responsabile.condivisione@apg23.org"
APOF,Associazione Patologi Oltre Frontiera,"Servizio di Anatomia Patologica - Ospedale di Venezia - Campo SS. Giovanni e Paolo - 30122  Venezia
Tel e Fax 0362/385779  
segreteria@patologioltrefrontiera.it"
APURIMAC,Apurimac Onlus,"Sede legale via Paolo VI, 25 - 00193 Roma
info@apurimac.it"
ARC. MISERICORDIA FIRENZE,Venerabile Arciconfraternita della Misericordia di Firenze,"Sede legale Piazza del Duomo, 19/20 - 50122 Firenze
Tel. 055/239393  Fax 055/292052 
info@misericordia.firenze.it"
ARCS,Arci Cultura e Sviluppo,"Via dei Monti di Pietralata, 16 - 00157 Roma
Tel. 06/41609500  Fax 06/41609214  
arcs@arci.it"
ASeS,Associazione Solidarietà e Sviluppo,"Via Durando, 14 - 30175 Marghera (VE)
Tel e Fax 041/937605  
ases@cia.it"
ASI,Associazione Sanitaria Internazionale,"Via delle Terme Deciane, 5/A - 00153  Roma
Tel. 06/5743482  Fax 06/5747655  
info@asi-medical.it"
ASIA,Associazione per la solidarietà internazionale in Asia,"Sede legale Merigar Loc. Podere Nuovo - 58031 Arcidosso (GR)
Tel. 0564/966837 Fax 0564/968110 
info@asia-onlus.org"
ASPEm,Associazione Solidarietà Paesi Emergenti,"Via Dalmazia, 2 - 22063 Cantù (CO)
Tel. 031/711394  Fax 031/713411  
aspem@aspem.org"
ASSEFA,Association for Sarva Seva Farms Italia,"Via Roma, 104 - 18038 Sanremo (IM)
Tel. e Fax 0184/501459  
assefa@libero.it"
ATS,Associazione di Terra Santa,"Via Matteo Boiardo, 16 - 00185 Roma
Tel. 06/70495651  Fax 06/77254142  
info@proterrasancta.org"
AUCI ONLUS,Auci Onlus (Ex Associazione Universitaria per la Cooperazione Internazionale),"Largo Agostino Gemelli, 8 - 00168 Roma
Tel. 06/30154538  Fax 06/3550 5107 
auci@rm.unicatt.it"
AVAZ,Associazione Avaz - Volontari per lo sviluppo dei popoli - Onlus,"Piazza Sempione 19/b - 00141 Roma
Tel. e Fax 06/82059264  
info@avaz.it"
AVSI,Sostegno e adozioni a distanza,"Via Legnone, 4  - 20128 Milano (sede operativa e amministrativa) 
Tel. 02/6749881  Fax 02/67490056 
milano@avsi.org"
BAMBINI NEL DESERTO,Organizzazione Umanitaria Bambini nel Deserto ONG-ONLUS,"Via A. Casoli, 45 - 41123 Modena
Tel. 335 6121610  
sede@bambinineldeserto.org"
CARE AND SHARE,Italia Onlus,"Castello 6084 – Campo Santa Marina - 30122  Venezia
Tel. 041/2443292  
careshare@careshare.org"
CARITAS,Caritas italiana,"Via Aurelia, 796 - 00165 ROMA
Tel. 06/66177001 Fax 06/66177602 
segreteria@caritasitaliana.it"
CAST,Centro per un Appropriato Sviluppo Tecnologico,"Via Garibaldi, 45 - 21014 Laveno Mombello (VA)
Tel. e Fax 0332/667082  
info@cast-ong.org"
CBM ITALIA ONLUS,CBM Italia Onlus,"Via Melchiorre Gioia, 72 - 20125 Milano
Tel. 02/72093670  
info@cbmitalia.org"
CCM,Comitato di Collaborazione Medica,"Via Ciriè 32/E - 10152 Torino
Tel. 011/6602793 Fax 011/3839455 
ccm@ccm-italia.org"
CDM Italia,Casa Do Menor Italia Onlus,"Via Roracco, 25  - 12089 Villanova Mondovi’ (Cuneo)
Tel. e Fax. 0174/698439  
segreteria@casadomenor.org"
CdS,La Casa del Sorriso Onlus,"Via Baronio Manfredi, 27 - 90046 Monreale (PA)
Tel. 091/6466400 Fax 091/6466438  
info@casadelsorriso.org"
CEFA,Comitato europeo per la formazione e l'agricoltura,"Via Lame, 118 - 40122 Bologna
Tel. 051/520285 Fax 051/520712 
info@cefaonlus.it"
CEIS,Centro Italiano di Solidarietà,"Via A. Ambrosini, 129 - 00147 Roma
Tel. 06/541951 Fax 06/5407304 
ceis@ceis.it"
CELIM,Centro Laici Italiani per le Missioni,"Sede legale Piazza Fontana, 2 - 20122 Milano
celim@celim.it"
CELIM BG,Organizzazione di Volontariato Internazionale Cristiano,"Via Conventino, 8 - 24125 Bergamo
Tel. 035/4598500 Fax 035/4598501 
info@celimbergamo.it"
CENTRO INTERNAZIONALE PER LA PACE FRA I POPOLI,Centro Internazionale per la Pace fra i Popoli Onlus,"Via Francalancia, 8 - 06081 Assisi
Tel. e Fax 075/816700  
info@centropace.org"
CESES,Centro Europa per la Scuola educazione e società,"Via Pantano, 17 - 20122  Milano 
Tel. 02/58306797  Fax 02/58303800  
cooperazione@ceses.it"
CESTAS,Centro Educazione Sanitaria Tecnologie Appropriate,"via Ranzani 13/5/F - 40127 Bologna
Tel. 051/255053  Fax 051/4211317  
cestas@cestas.org"
CESVI,Cesvi Fondazione Onlus,"Via Broseta 68/a - 24128 Bergamo
Tel. 035/2058058 Fax 035/260958  
cesvi@cesvi.org"
CESVITEM,Centro Sviluppo Terzo Mondo,"Sede legale Via Galli, 17 - 30035 Mirano (VE)
info@cesvitem.it"
CEVI,Centro di Volontariato Internazionale,"Via Torino, 77 - 33100 Paderno (UD)
Tel. 0432/548886  Fax 0432/486929  
info@cevi.coop"
CIAI,Centro Italiano Aiuti all'Infanzia,"Via Bordighera,6 - 20142 Milano
Tel. 02/848441 Fax 02/8467715  
info@ciai.it"
CICA,Comunità Internazionale di Capodarco,"Via Lungro, 3 - 00178 Roma
Tel. 06/7180570   
info@comunitadicapodarco.it"
CID,Comunità in dialogo,"Viia San Rocco, 2 - 03010 Trivigliano (FR)
Tel. 0775/520236 - 0775/520191 Fax 0775/521100 
info@comunitaindialogo.it"
CIES,Centro di Informazione ed Educazione allo Sviluppo,"Via Merulana, 198 - 00185 Roma
Tel. 06/77264611  Fax 06/77264628  
cies@cies.it"
CIFA,Centro Internazionale per l'Infanzia e la Famiglia,"Via Ugo Foscolo, 3 - 10138 Torino
Tel. 011/4338059 Fax 011/4338029  
cifa.torino@cifaong.it"
CIPSI,Coordinamento di Iniziative Popolari di Solidarietà Internazionale,"Sede legale via Rembrandt, 9 - 20147 Milano 
Tel. 02/48703730  Fax. 02/4079213 
cipsi@cipsi.it"
CISP,Comitato Internazionale per lo Sviluppo dei Popoli,"Via Germanico, 198 - 00192 Roma
Tel.06/3215498  Fax 06/3216163 
cisp@cisp-ngo.org"
CISS,Cooperazione Internazionale SUD-SUD,"Via Marconi, 2/a - 90141 Palermo
Tel. 091/6262694 oppure 091/6262004  Fax 091/347048 
info@cissong.org"
CISV,Comunità Impegno Servizio Volontario,"Corso Chieri, 121/6 - 10132 Torino
Tel. 011/8993823 Fax 011/8994700  
segreteria@cisvto.org"
CLMC,Comunità Laici Missionari Cattolici,"Via Canneto il Lungo 21/1 - 16121 Genova
Tel. 010/256628  
clmc.ge@tiscali.it"
CMN,Comunità Nuovo Mondo Onlus,"Via Puglie, 5 - 00053 Civitavecchia (RM)
Tel. 0766/31818  Fax 0766/580914 
info@mondonuovo.org"
CMSR,Centro Mondialità Sviluppo Reciproco,"Via della Madonna, 32 - 57123 Livorno 
Tel. 0586/887350  Fax 0586/882132 
cmsr-it@cmsr.org"
COCIS,Coordinamento delle ONG per la Cooperazione Internazionale allo Sviluppo,"Via Merulana, 272 - 00185  Roma
Tel. e Fax 06/32111501   
info@cocis.it"
COE,Centro Orientamento Educativo,"Sede legale e amministrativa Via Nizza, 230 - 10126 Torino
Tel. 011/6708185 Fax 011/6708183 
coingo@cooperazioneodontoiatrica.eu"
COI,Cooperazione Odontoiatrica Internazionale,"Via Milano, 4 - 23816  Barzio (Lc)
Tel 0341/996453  Fax 0341/910311 
coebarzio@coeweb.org"
COL'OR ONLUS,Camminiamo oltre l'orizzonte,"Piazza Umberto I, 3 - 10043 Orbassano (TO)
Tel. 011/9015927 Fax 011/0741409 
info@colorngo.org"
COMI,Cooperazione per il Mondo in via di Sviluppo,"Via S. Giovanni in Laterano, 262 - 00184 Roma
Tel. e Fax 06/70451061  
comi@comiorg.it"
COMITATO ITALIANO PER L'UNICEF,Comitato Italiano per l'Unicef,"Via Palestro, 68 - 00185 Roma
Tel. 06/478091  Fax 06/47809270 
info@unicef.it"
COMIVIS ONLUS,Comunità Missionaria di Villaregia per lo sviluppo,"Frazione Villaregia, 16  - 45014 Porto Viro (Rovigo) 
Tel. 0426/325032  
posta.vi@cmv.it"
COMSED,Cooperation of Medical Services and Development,"via 6° Trav. Della Libertà, 7 - 88900 Crotone (sede legale)
info@comsed.org"
COOPI,Cooperazione Internazionale,"Via Francesco De Lemene, 50 - 20151 Milano
Tel. 02/3085057 Fax 02 33403570 
coopi@coopi.org"
COOPSVIL,Cooperazione e Sviluppo - Africa Mission Onlus,"Via Cesare Martelli, 15  - 29122  Piacenza 
Tel. 0523-499424/499484  Fax 0523-400224 
africamission@coopsviluppo.org"
COPE,Cooperazione Paesi Emergenti,"Via Crociferi, 38  - 95124 Catania
Tel. e Fax 095/317390  
cope@cope.it"
COSPE,Cooperazione per lo Sviluppo dei Paesi Emergenti,"via Slapater, 10 - 50134  Firenze
Tel. 055/473556  Fax 055/472806  
cospe@cospe-fi.it"
COSV,Coordinamento delle Organizzazioni per il Servizio Volontario,"via Soperga, 36 - 20127 Milano
Tel. 02/2822852 Fax 02/2822853  
segreteria@cosv.org"
CPS,Comunità Promozione e Sviluppo,"Via San Vincenzo,15 - 80053  Castellammare di Stabia (NA)
Tel. 081/8704180   
info@cps-ong.it"
CRIC,Centro Regionale di Intervento per la Cooperazione,"Via Monsolini, 12 - 89121 Reggio Calabria 
Tel. 0965-812345/6  Fax 0965-812560  
info@cric.it"
CTM,Controinformazione Terzo mondo Onlus,"Piazza Bottazzi, 1 - 73100 Lecce
Tel. 0832/342481  Fax 0832/342489 
info@ctm-lecce.it"
CUAMM,Medici con l'Africa,"via San Francesco, 126 - 35121  Padova
Tel. 049-8751279/649 Fax 049-8754738 
cuamm@cuamm.org"
CVCS,Centro Volontari Cooperazione allo Sviluppo,"Via Bellinzona, 4  - 34170 Gorizia
Tel. 0481/34165 Fax 0481/546593 
info@cvcs.it"
CVM,Comunità Volontari per il Mondo,"Piazza Santa Maria, 4 - 60121 Ancona 
Tel. e Fax 071/202074  
cvm@cvm.an.it"
DD,Differenza Donna - Associazione donne contro la violenza alle donne - Onlus,"Via della Lungara, 19 (sede legale) - 00186 Roma 
Tel. 06/6780537 (amministrazione)  
d.donna@differenzadonna.it"
DEAFAL,"Delegazione Europea per l'Agricoltura Familiare in Asia, Africa e America Latina","Sede legale via Angera, 3  - 20125  Milano 
Tel. 02/67574328 Fax 02/67574322  
info@agriculturafamiliar.org"
DISVI,Associazione Internazionale Disarmo e Sviluppo,"Via G. Carducci, 77 - 14100 Asti
Tel. e Fax 0141/593407  
italia@disvi.it"
DOKITA,Associazione volontari Dokita,"Vicolo del Conte, 2 - 00148 Roma
Tel. 06/66155158  
dokita@dokita.org"
DPDU,Dalla parte degli ultimi,"Corso Giuseppe Mazzini, 190 - 86100 Campobasso
Tel. 0874/698571  
dpdu@iol.it"
EDUC-AID,Cooperazione e aiuto internazionale in campo educativo,"Via Vezia, 2 - 47921 Rimini
Tel. e Fax 0541/28022  
info@educaid.it"
ELIS,Associazione Centro ELIS,"Sede legale Via Sandro Sandri, 71 - 00159 Roma
06/4356031 06/43560333 
associazione@elis.org"
EMERGENCY,Associazione,"Via Gerolamo Vida, 11 - 20127 Milano
Tel. 02/881881  Fax 02/86316336 
info@emergency.it"
EMERGENZA SORRISI,Doctors for Smiling Children,"Via Salaria, 95  - 00198 Roma
06 84242799 06 8413845 
info@emergenzasorrisi.it"
ENGIM,Ente Nazionale Giuseppini del Murialdo,"Via Belvedere Montello, 77 - 00166 Roma
Tel. 06/6243400  
ufficio.ong@engim.it"
ESSEGIELLE,"Solidarietà, Giustizia e Libertà","Piazza Campitelli, 9 - 00186 Roma
Tel. e Fax 06/6833361  
info@essegielle.org"
ESTM,European School of Transfusion Medicine,"Viale Beatrice D'Este, 5 - 20122 Milano
Tel. 02/58316515 Fax 02/58308111 
estm.secretariat@estm.info"
FDUO,Fratelli dell'Uomo,"Viale Restelli, 9 - 20124 Milano
Tel. 02/69900210 Fax 02/69900203 
info@fratellidelluomo.org"
FIDC,Fondazione Ivo De Carneri,Sede legale Via G. Ceradini 3 - 20129  Milano
FOCSIV,Volontari nel Mondo – Federazione Organismi Cristiani di Servizio Internazionale Volontario,"Via S. Francesco di Sales, 18 - 00165 Roma
Tel 06/6877796- 6877867  Fax 06/6872373 
focsiv@focsiv.it"
FON. TOV.,Fondazione Tovini,"Sede legale Via L. Cadorna, 11  - 25124 Brescia
segreteria@fondazionetovini.it"
FON.SIPEC,Fondazione Sipec,"Sede legale Via Rocchetta, 18 - 25087 Salò (BS)
Tel. 0365/43638   
fonsipec@fonsipec.it"
FONDAZIONE DON CARLO GNOCCHI,Fondazione Don Carlo Gnocchi Onlus,"Sede legale Piazzale Rodolfo Morandi, 6 - 20121 Milano
Tel. 02/40308700  
ufficiostampa@dongnocchi.it"
FONDAZIONE EMMANUEL,Fondazione Emmanuel - Don Francesco Tarantini per le Migrazioni e il Sud del Mondo,"Strada Provinciale Lecce - Novoli n.23/25 - 73100 Lecce
info@fondazione-emmanuel.org"
FONDAZIONE GIOVANNI PAOLO II,"Fondazione Giovanni Paolo II per il dialogo, cooperazione e sviluppo","Piazza del Municipio, 7 - 52015 Pratovecchio (Arezzo)
0575.583747 0575.583747"
FONDAZIONE L'ALBERO DELLA VITA,Fondazione l'Albero della Vita Onlus,"Via L. Il Moro 6/A, Palazzo Pacinotti  - 20080 Basiglio (MI)
Tel. 02/90751517  Fax 02/90751464 
amministrazione.fondazione@alberodellavita.org"
FONDAZIONE MAGIS,Movimento ed azione dei Gesuiti Italiani per lo Sviluppo,"Via degli Astalli, 16 - 00186 Roma
Tel. 06/69700327 Fax 06/69700315 
magis@gesuiti.it"
FONDAZIONE MARISA BELLISARIO,Fondazione Marisa Bellisario,"Piazza Giuseppe Verdi, 8 - 00198 Roma
Tel. 06/85357628 Fax 06/874599041 
info@fondazionebellisario.org"
FONDAZIONE MONSERRATE,Fondazione Monserrate Onlus,"Sede legale Via San Vittore,36 - 20123 Milano
segreteria@monserrate.it"
FONDAZIONE RAPHAEL ONLUS,Fondazione Raphael Onlus,"Viale delle Milizie, 34 - 00192 Roma
Tel. 06/37517652 - 06/37890960  
info@fondazione-raphael.org"
FONDAZIONE RISORSA DONNA,Fondazione risorsa donna,"Viale Aventino, 36 - 00153  Roma
Tel.06/57289655  Fax 06/5745506 
info@fondazionerisorsadonna.it"
FONDAZIONE RITA LEVI MONTALCINI,Fondazione Rita Levi Montalcini Onlus,"Via Catanzaro, 9 - 00161  Roma
Tel. 06/44241786 Fax 06/44242885 
info@ritalevimontalcini.org"
GAO,Cooperazione Internazionale,"Via Pietro Bucci - 87030 Rende (CS)
Tel. 0984/492535 /39 Fax 0984/401324 
gao@unical.it"
GICAM,Gruppo italiano Chirurghi Amici della Mano,"Sede legale Viale Zara, 58 - 20124 Milano
Tel. 02/6888821   
info@gicam.it"
GMA,Gruppo Missioni Africa,"Via Luppia Alberi, 1 - 35044 Montagnana (PD)
Tel. 0429/800830  Fax 0429/804040 
gma@gmagma.org"
GMM,"Gruppo Missionari ""Un pozzo per la vita"" Merano","via Foscolo, 1 - 39012 Merano (BZ)
Tel. e Fax 0473/446400  
info@gmm-ong.org"
GREEN CROSS ITALIA,Green Cross Italia,"Via Flaminia, 53 - 00196 Roma
Tel. 06/36004300 Fax 06/36081834 
info@greencross.it"
GRT,Gruppo per le Relazioni Transculturali,"Via Desiderio, 26/A - 20131 Milano
Tel. 02/26681866  
grt@grtitalia.org"
GRUPPO ABELE,Gruppo Abele Onlus,"Corso Trapani, 91/b - 10141 Torino
Tel. 011/3841066 Fax 011/3841031 
segreteria@gruppoabele.org"
GSI ITALIA,Gruppi Solidarietà Internazionale,"Viale Trento e Trieste, 65 - 06049 Spoleto (PG)
Tel. 0743/49987 Fax 0743/47690 
info@gsiitalia.org"
GTV,Gruppo Trentino di Volontariato Onlus,"Via San Marco, 3  - 38100  Trento
Tel: 0461/986696  Fax 0461/222671 
info@gtvonline.org"
GUS,Gruppo Umana Solidarietà,"Via Pace, 5 - 62100 Macerata
Tel. 0733/260498 Fax 0733/269758 
info@gus-italia.org"
GVC,Gruppo di Volontariato Civile,"Via dell'Osservanza, 35/2 - 40136  Bologna 
Tel. 051/585604 Fax 051/582225 
gvc@gvc-italia.org"
IBO,Associazione Italiana Soci Costruttori,"Via Montebello 46/a - 44121 Ferrara
Tel. 0532/243279 Fax 0532/245689 
info@iboitalia.org"
ICEI,Istituto Cooperazione Economica Internazionale,"Via Cufra, 29 - 20159  Milano
Tel. 02/25785763 Fax 02/36582762 
info@icei.it"
ICU,Istituto per la Cooperazione Universitaria,"Viale G. Rossini, 26 - 00198 Roma
Tel. 06/93938367 Fax 1786034698 
info@icu.it"
IFP,Incontro fra i popoli,"Sede legale Via S. Giovanni di Verdara 139 - 35137 Padova 
Tel. 335/8367030   
info@incontrofraipopoli.it"
IL SOLE,Il Sole Onlus,"Viale Rimembranze, 45 - 21047 Saronno
Tel. 02/96193238 Fax. 02/96709679 
info@ilsole.org"
INSIEME SI PUO',Insieme si può... onlus,"Via Garibaldi, 18 - 32100 Belluno
Tel. e Fax 0437/291298   
insiemesipuo@365giorni.org"
INTERSOS,Organizzazione Umanitaria per l'Emergenza,"Via Aniene, 26/A - 00198 Roma
Tel 06/8537431 Fax 06/85374364 
intersos@intersos.org"
IPSIA,Istituto Pace Sviluppo Innovazione Acli,"Via G. Marcora, 18/20 - 00153  Roma
Tel. 06/5840400  Fax 06/5840656 
ipsia@acli.it"
ISCOS,Istituto Sindacale per la Cooperazione allo Sviluppo,"Largo A. Vessella, 31 - 00199 Roma
Tel. 06/44341280 Fax 06/49388729 
iscos@iscos-cisl.org"
ISISC (Fondazione),Istituto Superiore Internazionale di Scienze Criminali,"Via Logoteta, 27  - 96100  Siracusa
Tel. 0931/414515 Fax 0931/67622 
segreteria@isisc.org"
ISTITUTO OIKOS,Istituto Oikos,"Sede legale Via Bagaini, 18 - 22100 Varese
info@istituto-oikos.org"
JRS,Fondazione Pia Autonoma Servizio dei Gesuiti per i Rifugiati - Jrs,"Borgo Santospirito, 4 - 00195 Roma
Tel. 06/68977386  
international@jrs.net"
LA RUOTA INTERNAZIONALE,La ruota internazionale,"Via Domenico Jachino, 47 - 00144 Roma
Tel. 06/5290754  Fax 06/52244298  
annamaria.pollak@alice.it"
L'AFRICA CHIAMA ONLUS,L'Africa chiama Onlus,"Via Giustizia, 43 - 61032  Fano (PU)
Tel. e Fax 0721/865159   
info@lafricachiama.org"
LAMA,Coordinamento Regionale Volontariato e Solidarietà Luciano Lama onlus,"Via Civiltà del Lavoro, 17a - 94100  Enna
Tel. 0935/533211 Fax 0935/533155 
assllama@tin.it"
LEGAMBIENTE,Legambiente,"Via Salaria, 403 - 00199 Roma
Tel. 06/862681  Fax 06/86218474 
legambiente@legambiente.it"
LEO ONLUS,Associazione Leo Onlus,"Via Valle Caserta, 4 - 81020 Valle di Maddaloni (CE) 
Tel. e Fax 0823/336745  
associazioneleo@tin.it"
LTM,Gruppo Laici Terzo Mondo,"Via A. Depretis, 62 - sc. C int. 6 - 80133 Napoli
Tel. 081/5514147 Fax 081/5517067 
ltmong@tin.it"
LUMBELUMBE,Associazione LumbeLumbe,"Via Federico Confalonieri, 2  - 00195 Roma
Tel.06.32652501 Fax 06.62202122 
info@lumbelumbe.org"
LVIA,Associazione Internazionale Volontari Laici,"Corso IV Novembre, 28 - 12100 Cuneo 
Tel. 0171/696975  Fax 0171/602558  
lvia@lvia.it"
MAC,Movimento Apostolico Ciechi,"Via di Porta Angelica, 63 - 00193 Roma
Tel. 06/6861977 Fax 06/68307206 
info@movimentoapostolicociechi.it"
MAGIS,Movimento e Azione dei Gesuiti Italiani per lo Sviluppo,"P.zza S. Fedele, 4  - 20121  Milano
800999099  
segreteria@magisitalia.org"
MAIS,"Movimento per l'Autosviluppo, l'Interscambio e la Solidarietà","Via Saluzzo, 23 - 10125 Torino
Tel. 011/657972 - 655737 Fax 011/655959  
info@mais.to.it"
MANI TESE,Mani Tese,"P.le Gambara, 7/9 - 20146 Milano
Tel. 02/4075165  Fax 02/4046890  
manitese@manitese.it"
MC,Movimento e comunità in difesa dei diritti dei popoli,"Sede legale Lungotevere Raffaello Sanzio, 5 - 00153 Roma
Tel. 06/585511 Fax 06/5815184  
es.movicom@gmail.com"
MCO,Missioni Consolata Onlus,"Sede amministrativa Corso Ferrucci, 14 - 10138 Torino
Tel. 011/4400447 Fax 011/4400411 
amministratore@missioniconsolataonlus.it"
MISSIONE FUTURO ONLUS,Missione Futuro Onlus,"Via Sebino, 11 - 00199 Roma
Tel. 06/85865700 Fax 06/8414531  
missionefuturo@virgilio.it"
MLFM,Movimento per la lotta contro la fame nel mondo,"Via Cavour, 73 - 26900 Lodi
Tel. e Fax 0371/420766  
info@mlfm.it"
MMI,Medicus Mundi Italia,"Via Martinengo da Barco, 6/A - 25121 Brescia
Tel. 030/3752517  Fax 030/43266  
info@medicusmundi.it"
MOCI,Movimento per la Cooperazione Internazionale,"Via Pio XI, Traversa Putortì, 18 - 89133 Reggio Calabria
Tel. e Fax 0965/621974   
mocimondo@tin.it"
MODAVI ONLUS,Movimento delle associazioni di volontariato italiano Modavi,"corso Trieste, 63B - 00198 Roma
Tel. 06/84242188 Fax 06/84081658 
info@modavi.it"
MOVIMENTO AFRICA '70,Movimento Africa '70,"Via Manzoni, 32 - 20052 Monza-Brianza
Tel. 039/2308465 Fax 039/386627 
africa70@africa70.org"
MSF,Medici Senza Frontiere Onlus,"Via Volturno, 58 - 00185  Roma
Tel. 06/4486921 Fax 06/44869220 
msf@msf.it"
MSO,Movimento Shalom Onlus,"Via Carducci, 4  - 56028 San Miniato (Pi)
+ 39 0571 400462  +39 0571 1834775"
MSP,Movimento Sviluppo e Pace,"Via Saluzzo, 58 - 10125 Torino
Tel. 011/655866  Fax 011/6698096 
movpace@tin.it"
N:EA,Napoli-Europa-Africa,"Via Giuseppe Fiorelli, 5 - 80122 Napoli
Tel. 081/660606  Fax 081/664638  
info@neaculture.it"
NEXT ONLUS,Next Onlus,"Via San Rocco, 20 - 82016  Montesarchio (BN)
Tel. 0824/832461 Fax 0824/831131 
info@nextonlus.it"
NEXUS,Nexus Solidarietà Internazionale Emilia Romagna,"Via Marconi, 69 - 40122  Bologna
Tel. 051/294775 Fax 051/294810 
er_nexus@er.cgil.it"
NPSG,Non c'è pace senza giustizia,"Via di Torre Argentina, 76  - 00186 Roma
06/68803613  06/68803609 
webmaster@npwj.org"
