Sigla,Nome,Codice Fiscale,Piva,Indirizzo,Telefono,Fax,Email,Sito,Soci,Gruppi di Appoggio,Sostenitori,Personale Remunerato: Full Time,Personale Remunerato: Part Time,Personale Volontario in distacco: Full Time,Personale Volontario in distacco: Part Time,Personale Volontario in distacco: Sporadico,Staigiers: Full Time,Staigiers: Part Time,Staigiers: Sporadico,Volontari Rientrati: Full Time,Volontari Rientrati: Part Time,Volontari Rientrati: Sporadico,Altro Personale: Full Time,Altro Personale: Part Time,Altro Personale: Sporadico,Volontari in Servizio Civile in Italia,Volontari in Servizio Civile all'Estero,Corsi Volontari Internazionali,Volontari Internazionali Formati,Corsi Volontari in Italia,Volontari in Italia Formati,Corsi Insegnanti,Insegnanti Formati,Corsi Educatori,Educatori Formati,Corsi Cittadini Extracomunitari,Cittadini Extracomunitari Formati,Corsi Mediatori Culturali,Mediatori Culturali Formati,Corsi Progettisti,Progettisti Formati,Corsi Funzionari Cooperazione,Funzionari Cooperazione Formati,Corsi Universitari,Universitari Formati,Corsi Laureati,Laureati Formati,Corsi per Famiglie,Famiglie: Persone Formate,Corsi Società Civile,Società Civile: Persone Formate,Iniziative di Mobilitazione,Partecipazione Eventi,Tavoli di concertazione Amm. Locali,Tavoli di concertazione Ist. Nazionali,Produzione Legislativa,Materiale Didattico,Organizzazione Eventi,Interventi nelle Scuole,Siti,Campi di Lavoro,Turismo,Adozioni,Collaborazioni con le Universtità,Scuole di Formazione
ASAL,Associazione Studi America Latina,96114280587,,"Via Tacito, 10",63235389,63235389,asal@asalong.org,http://www.asalong.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,15,1,0,0,0,1,0
AUCI,Associazione Universitaria per la Cooperazione Internazionale,80415960584,,"Largo Agostino Gemelli, n°8",6.30154538,6.35505107,auci@rm.unicatt.it,www.auci.it,150,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0
AVAZ,Associazione Volontari per lo Sviluppo dei Popoli,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.I.S.V.,Comunità  Impegno Servizio Volontariato,,,,,,,,173,10,1000,7,9,0,0,0,0,2,0,0,0,3,0,2,0,0,14,6,30,0,0,3,600,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,40,1,2,0,0,1,0
C.L.M.C.,Comunità  Laici Missionari Cattolici,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.M.S.R.,Centro Mondialità  Sviluppo Reciproco,1078610498,1078610498,Via della Madonna 32  57123   Livorno,0586 887350,0586 882132,cmsr-it@cmsr.org,www.cmsr.org,60,3,200,3,1,0,10,20,0,0,0,0,0,1,0,9,0,9,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,10,30,1,0,0,90,3,0
C.P.S.,Comunità  Promozione e Sviluppo,82009620632,,"Via San Vincenzo, 15 80053 Castellammare di Stabia (MA)",081-8704180,081-8704180,info@cps-ong.it,www.cps-ong.it,50,0,500,1,0,0,0,0,0,0,0,0,0,0,0,10,5,0,6,1,15,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,2,5,1,0,0,0,5,10,1,0,7,0,2,0
C.V.C.S.,Centro Volontari Cooperazione allo Sviluppo,91000280312,,"Via Bellinzona 4, 34170 Gorizia",0481-34165,0481-546593,info@cvcs.it,www.cvcs.it,64,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,20,0,0,0,0,0,0
C.V.M.,Comunità  Volontari per il Mondo,316140433,2130480425,"Piazza S. Maria, 4 - 60121 Ancona",071-202074,071-202074,cvm@cvm.an.it,www.cvm.an.it,86,3,757,4,3,4,0,0,2,0,0,5,0,0,0,4,3,4,2,3,82,1,50,19,500,1,42,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,5,7,1,0,0,0,2,
Ce.L.I.M. Milano,Centro Laici Italiani per le Missioni - Milano,80202830156,,Via San Calimero 11/13,258317810,258316324,celim@celim.it,www.celim.it,110,3,3000,0,5,0,0,0,0,0,0,0,3,0,0,6,50,5,14,1,14,1,5,3,80,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,3,10,117,1,0,0,0,5,0
CEFA,CEFA Comitato Europeo per la Formazione e l'Agricoltura Onlus,1029970371,,Via Lame 118,0039 051 520285,0039 051 520712,info@cefaonlus.it,www.cefaonlus.it,20,6,2000,9,2,0,0,0,,7,,0,0,15,0,5,17,4,8,8,40,1,12,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,4,15,2,1,0,1,4,39,3,0,0,0,1,0
CELIM BERGAMO,CELIM BERGAMO - Organizzazione di Volontariato Internazionale Cristiano,80038160166,,"Via Conventino, 8",354598500,354598501,info@celimbergamo.org,www.celimbergamo.org,25,2,100,1,2,0,0,0,0,3,0,0,0,5,0,6,4,1,0,9,15,8,20,3,55,1,22,0,0,0,0,0,0,0,0,2,30,2,30,0,0,1,50,1,16,3,0,0,2,17,4,1,1,0,0,1,0
CO.MI.VI.S.,Comunità  Missionaria di Villaregia per lo Sviluppo,1262840299,1262840299,Frazione Villaregia 16 - 45014 Porto Viro (RO),0426/325032,0426/325442,posta@comivis.org,www.comivis.org,15,7,1800,0,0,7,0,0,0,0,0,0,2,3,0,2,21,0,0,1,40,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1230,1,0,0,0,0,0
CO.P.E.,Cooperazione Paesi Emergenti,93009320875,3324790876,"Via Vittorio Emanuele 159, 95131 Catania",95317390,95317390,cope@cope.it,www.cope.it,51,37,191,11,2,6,0,0,0,2,0,30,0,0,0,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COE,Associazione Centro Orientamento Educativo,92012290133,,Via Milano 4 -23816 Barzio,0341 996453,0341 910311,coebarzio@coeweb.org,www.coeweb.org,194,3,150,5,4,21,18,0,,0,29,,15,20,12,13,80,,,1,16,0,0,,,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,92,0,3,0,0,0,0,3,70,1,0,0,336,3,0
COMI,Cooperazione per il mondo in via di Sviluppo,80404090583,,"via G. Tarra 20 00100 RM (legale), via S.G.in Laterano 262 00184 RM (operativa)",06-7045.1061,06-7045.1061,segreteria@comiorg.it,www.comiong.it,90,1,30,0,2,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
COMUNITA' IN DIALOGO,Comunità in Dialogo,92009470607,,via San Rocco n°2-  03010 Trivigliano (FR),0775/520191-,0775/521100,indialogo@libero.it,www.comunitaindialogo.it,13,0,0,11,3,5,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,8,,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0
COOPERAZIONE E SVILUPPO,Cooperazione e Sviluppo,91005980338,1583340334,"Via Cesare Martelli, 6 - 20122 Piacenza",0523 499424-84,0523 400224,africamission@coopsviluppo.org,www.africamission.org,34,22,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,1,34,0,1,2,0,0,1,0
CUMSE,Fondazione CUMSE Onlus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGIM,Ente Nazionale Giuseppini del Murialdo,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESF,Educatori Senza Frontiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EsseGiElle,Solidarietà  Giustizia Libertà  Cooperazione Internazionale Onlus,97074530581,,"Piazza Campitelli, 9",66833361,6688033361,info@essegielle.org,www.essegielle.org,187,4,250,1,1,0,0,0,,1,0,0,0,0,,18,5,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,1,0,0,0,0,0
FAV,Fondazione Aiutiamoli a Vivere,91017220558,,Via XX Settembre 166,744279560,744282460,fondaav@tin.it,www.aiutiamoliavivere.it,0,0,0,3,5,13,10000,0,0,0,0,0,0,0,0,0,0,0,0,2,150,150,10000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,150,2200,0,0,0,0,150,1,0,2200,0,0,0,1,0,0,4,0
FDCG,Fondazione Don Carlo Gnocchi,4793650583,12520870150,"Piazzale Morandi, 6 - 20121 Milano",02.403087.13-18,2.40308629,area.int@dongnocchi.it,www.ong.dongnocchi.it,0,0,80,4,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0
FFD,Fondazione Fratelli Dimenticati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSI,Fondazione Marista per la Solidarietà Internazionale - Onlus,97484360587,,"Piazzale Marcellino Champagnat, 2 00144 Roma",06 545171,06 54517500,fmsi@fmsi-onlus.org,www.fmsi-onlus.org,,,,3,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOCSIV,Federazione Organismi Cristiani Servizio Internazionale Volontario,80118050154,,"Via S. Francesco di Sales, 18 - 00165 Roma",66877796,66872373,focsiv@focsiv.it,www.focsiv.it,0,0,0,20,0,0,0,0,8,1,0,0,0,0,0,0,0,0,89,7,300,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,1
FON.SIPEC,Fondazione SIPEC,96006440174,,"Brescia, Via Collebeato 26",303700242,30380706,fonsipec@fonsipec.it,www.fonsipec.it,30,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,20,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
FON.TOV.,"Fondazione ""Giuseppe Tovini""",80009970171,,Via G. Galilei 71,39030305462,390303760,segreteria@fondazionetovini.it,www.fondazionetovini.it,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0
Fondazione Fontana,Fondazione Fontana Onlus,92113870288,4166920282,"via Herrsching, 24 int.3",0461-390092,0461-390092,info@fondazionefontana.org,www.fondazionefontana.org,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOEL,Consorzio Sociale Goel,,,"contrada Limina, 3",0964 419191,0964 419191,segreteria@goel.coop,www.goel.coop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUIPALAS,Associazione Huipalas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBO Italia,Associazione Italiana Soci Costruttori - IBO Italia,90500750154,,via montebello 46a,0532/243279,0532/245689,info@iboitalia.org,www.iboitalia.org,300,15,1000,9,3,5,15,595,2,1,0,2,0,0,2,0,0,0,5,3,30,3,200,,0,,0,,0,,0,1,2,,0,2,100,,0,,0,,0,0,5,3,0,0,0,10,10,1,50,0,120,15,3
In Cammino per la Famiglia,In Cammino per la Famiglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSIEME SI PUO',"Associazione Gruppi ""Insieme si può""  Onlus/Ong",93009330254,93009330254,"Via Garibaldi, 18",437.291298,437.291298,insiemesipuo@365giorni.org,www.365giorni.org,80,80,3000,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,100,0,0,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,300,2,0,0,0,0,0
IPSIA,Istituto Pace Sviluppo Innovazione Acli,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KABIA,Soc. Coop. Soc. Kabia - Luogo Comune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.V.I.A.,Associazione Internazionale Volontari Laici,80018000044,,Corso IV Novembre 28 12100 CUNEO,171696975,171602558,lvia@lvia.it,www.lvia.it,130,8,0,14,5,0,0,0,0,0,0,0,0,23,0,0,210,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUMBELUMBE,LumbeLumbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.L.F.M.,Movimento per la Lotta contro la Fame nel Mondo,84511630158,,"Via Cavour 73, 26900, Lodi.",0039 0371420766,0039 0371420766,info@mlfm.it,www.mlfm.it,111,2,1500,1,9,0,0,0,0,2,0,0,0,15,5,0,0,0,2,1,10,4,20,1,40,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,10,2,0,0,4,10,80,3,3,0,120,7,2
M.M.I.,Medicus Mundi Italia,98011200171,,Via Martinengo da Barco 6/a - 25121 Brescia,303752517,3043266,info@medicusmundi.it,www.medicusmundi.it,65,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,2,1,0,0,0,1,1,0,0,0,0,2,0
M.S.P.,Movimento Sviluppo e Pace ONG/ONLUS,80094910017,#N/A,"Via Saluzzo, 58  -  10125 Torino   TO",39011655866,390116698096,movpace@tin.it,www.movimentosviluppopace.org,81,4,0,1,1,0,6,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO.C.I.,Movimento per la Cooperazione Internazionale,92004220809,,"VIA PIO XI TRAV PUTORTI, 18 - 89133 REGGIO CALABRIA",3396968914,965621974,mocimondo@tin.i,www.mocimondo.it,30,5,500,0,0,0,0,0,0,0,0,0,0,0,7,5,6,6,1,1,5,2,6,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,2,5,2,0,0,300,1,0
MOVIMENTO SHALOM,Movimento Shalom Onlus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.S.V.I.C.,Organismo Sardo di Volontariato Internazionale Cristiano,90003110955,,Via Goito n° 25 - 09170 Oristano,78371817,78371817,osvicor@tiscali.it,www.osvic.it,57,15,150,2,2,8,0,0,0,0,0,0,0,3,2,3,12,4,4,5,15,6,20,2,140,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,3,8,1,0,0,0,20,60,3,0,1,0,3,0
OVCI - La Nostra Famiglia,Organismo di Volontariato per la Cooperazione Internazionale,91001170132,,"Via don Luigi Monza, 1 2037 Ponte Lambro (CO)",31625311,31625243,ovci@pl.lnf.it,www.ovci.it,187,8,100,4,6,0,7,50,0,0,0,0,0,0,0,0,0,1,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,3,1,1,0,40,,0
OVERSEAS,Organizzazione per lo sviluppo Globale di Comunità  in Paesi Extraeuropei - onlus,80077530378,,"Via Castelnuovo R.ne, 1190 - 41057 Spilamberto (MO)",059 785425,059 7860055,overseas@overseas-onlus.org,www.overseas-onlus.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdF,ONG Punto di Fraternità ONLUS,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PICCOLI PROGETTI POSSIBILI,Associazione 3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO.DO.C.S.,Progetto Domani: Cultura e Solidarietà ,97036450589,,"via Etruria, 14 - 00183 Roma",677072773,67003710,prodocs@prodocs.org,www.prodocs.org,40,5,37,1,1,0,0,0,1,,0,2,0,0,,3,4,0,0,1,5,1,30,1,98,1,43,0,0,0,0,1,35,0,0,0,0,0,0,0,0,1,64,2,32,3,1,0,15,3,4,1,1,0,0,1,0
PRO.MOND.,Progetto Mondialità - Organismo di volontariato internazionale di Puglia,93009310728,,"Piazza Garibaldi, 67",0039 080 521281,0039 080 575245,promond@tin.it,www.promond.it,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROCLADE,Proclade Internazionale Onlus,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProgettoMondo Mlal,ProgettoMondo Movimento Laici America Latina Onlus,80154990586,-,Viale A. Palladio 16 - 37138 VERONA,045/8102105,045/8103181,info@mlal.org,www.progettomondomlal.org,73,6,0,48,0,0,0,0,0,2,0,0,2,32,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,3,3,0,1,30,60,3,0,2,100,3,0
R.T.M.,Reggio Terzo Mondo,80013110350,,"Via Mogadiscio, 1 42124 Reggio Emilia",0522 514205,0522 506318,info@reggioterzomondo.org,www.reggioterzomondo.org,182,2,300,6,10,22,0,0,0,0,3,0,0,6,0,0,7,0,3,3,62,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5,10,1,1,0,0,1,0
S.V.I.,Servizio Volontario Internazionale,80012670172,,Viale Venezia 116 25123 Brescia,303367915,303361763,info@svibrescia.it,www.svibrescia.it,81,9,450,3,1,0,0,0,0,0,0,0,0,20,0,3,30,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,1,0,0,0,1,0
SCAIP,Servizio Collaborazione Assistenza Internazionale Piamartino Onlus,98009900170,,"Via Enrico Ferri, 75",302306873,302309427,info@scaip.it,www.scaip.it,42,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
SERIO,Associazione culturale di volontariato SERIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLIDAUNIA,Solidaunia - La Daunia per il Mondo,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.V.I.S.P. - Assisi,Unione Volontariato Internazionale per lo Sviluppo e la Pace - ASSISI,94016000542,3084960545,Zona Industriale Ovest settore H 06083 Bastia Umbra (PG),758004667,758004667,info@uvisp.org,www.uvisp.org,70,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0
V.I.D.E.S.,Volontariato Internazionale Donna Educazione Sviluppo,96118860582,,"Via di San Saba, 14",65750048,65750904,videsitalia@videsitalia.it,http://www.videsitalia.it,873,44,3334,0,6,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
